"GEO_ID","NAME","P5_001N","P5_002N","P5_003N","P5_004N","P5_005N","P5_006N","P5_007N","P5_008N","P5_009N","P5_010N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Institutionalized population:"," !!Total:!!Institutionalized population:!!Correctional facilities for adults"," !!Total:!!Institutionalized population:!!Juvenile facilities"," !!Total:!!Institutionalized population:!!Nursing facilities/Skilled-nursing facilities"," !!Total:!!Institutionalized population:!!Other institutional facilities"," !!Total:!!Noninstitutionalized population:"," !!Total:!!Noninstitutionalized population:!!College/University student housing"," !!Total:!!Noninstitutionalized population:!!Military quarters"," !!Total:!!Noninstitutionalized population:!!Other noninstitutional facilities",
"1400000US17099962100","Census Tract 9621, LaSalle County, Illinois","156","138","0","0","138","0","18","0","0","18",
"1400000US17099962200","Census Tract 9622, LaSalle County, Illinois","45","45","0","0","45","0","0","0","0","0",
"1400000US17099962300","Census Tract 9623, LaSalle County, Illinois","1653","1653","1653","0","0","0","0","0","0","0",
"1400000US17099962400","Census Tract 9624, LaSalle County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17099962500","Census Tract 9625, LaSalle County, Illinois","63","63","0","0","63","0","0","0","0","0",
"1400000US17099962600","Census Tract 9626, LaSalle County, Illinois","168","90","78","12","0","0","78","0","0","78",
"1400000US17099962700","Census Tract 9627, LaSalle County, Illinois","24","0","0","0","0","0","24","0","0","24",
"1400000US17099962800","Census Tract 9628, LaSalle County, Illinois","12","0","0","0","0","0","12","0","0","12",
"1400000US17099962900","Census Tract 9629, LaSalle County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17099963000","Census Tract 9630, LaSalle County, Illinois","228","200","0","0","200","0","28","0","0","28",
"1400000US17099963100","Census Tract 9631, LaSalle County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17099963200","Census Tract 9632, LaSalle County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17099963300","Census Tract 9633, LaSalle County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17099963400","Census Tract 9634, LaSalle County, Illinois","0","0","0","0","0","0","0","0","0","0",
