"GEO_ID","NAME","P4_001N","P4_002N","P4_003N","P4_004N","P4_005N","P4_006N","P4_007N","P4_008N","P4_009N","P4_010N","P4_011N","P4_012N","P4_013N","P4_014N","P4_015N","P4_016N","P4_017N","P4_018N","P4_019N","P4_020N","P4_021N","P4_022N","P4_023N","P4_024N","P4_025N","P4_026N","P4_027N","P4_028N","P4_029N","P4_030N","P4_031N","P4_032N","P4_033N","P4_034N","P4_035N","P4_036N","P4_037N","P4_038N","P4_039N","P4_040N","P4_041N","P4_042N","P4_043N","P4_044N","P4_045N","P4_046N","P4_047N","P4_048N","P4_049N","P4_050N","P4_051N","P4_052N","P4_053N","P4_054N","P4_055N","P4_056N","P4_057N","P4_058N","P4_059N","P4_060N","P4_061N","P4_062N","P4_063N","P4_064N","P4_065N","P4_066N","P4_067N","P4_068N","P4_069N","P4_070N","P4_071N","P4_072N","P4_073N",
"1400000US17197880316","Census Tract 8803.16, Will County, Illinois","2797","142","2655","2588","1316","180","1","1082","0","9","67","64","5","10","21","0","21","5","1","0","0","1","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880317","Census Tract 8803.17, Will County, Illinois","4599","428","4171","4070","2459","617","3","969","0","22","101","92","17","27","21","0","17","0","6","0","1","0","0","0","3","0","0","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880318","Census Tract 8803.18, Will County, Illinois","2673","163","2510","2446","1766","162","1","510","0","7","64","61","12","4","12","0","19","7","6","0","0","0","0","0","1","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880319","Census Tract 8803.19, Will County, Illinois","3472","306","3166","3070","1897","194","8","955","0","16","96","94","16","20","26","0","23","1","2","0","4","0","0","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880320","Census Tract 8803.20, Will County, Illinois","2420","224","2196","2134","1744","122","1","257","0","10","62","58","5","5","16","0","28","1","0","0","3","0","0","0","0","0","0","4","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880321","Census Tract 8803.21, Will County, Illinois","2777","278","2499","2449","1807","219","1","408","0","14","50","47","5","6","18","1","6","2","7","0","0","0","0","0","2","0","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880322","Census Tract 8803.22, Will County, Illinois","4465","197","4268","4182","2025","229","2","1908","3","15","86","83","0","10","47","2","21","0","0","0","0","0","0","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880323","Census Tract 8803.23, Will County, Illinois","5230","206","5024","4909","3019","239","8","1632","0","11","115","111","13","21","43","5","16","6","3","0","0","0","0","0","4","0","0","4","0","2","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880324","Census Tract 8803.24, Will County, Illinois","3567","451","3116","3010","1753","417","2","832","1","5","106","103","22","17","43","0","8","7","0","3","3","0","0","0","0","0","0","3","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880325","Census Tract 8803.25, Will County, Illinois","2313","313","2000","1915","1258","272","1","368","0","16","85","76","13","10","30","0","19","0","0","0","4","0","0","0","0","0","0","9","7","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
