"GEO_ID","NAME","P2_001N","P2_002N","P2_003N","P2_004N","P2_005N","P2_006N","P2_007N","P2_008N","P2_009N","P2_010N","P2_011N","P2_012N","P2_013N","P2_014N","P2_015N","P2_016N","P2_017N","P2_018N","P2_019N","P2_020N","P2_021N","P2_022N","P2_023N","P2_024N","P2_025N","P2_026N","P2_027N","P2_028N","P2_029N","P2_030N","P2_031N","P2_032N","P2_033N","P2_034N","P2_035N","P2_036N","P2_037N","P2_038N","P2_039N","P2_040N","P2_041N","P2_042N","P2_043N","P2_044N","P2_045N","P2_046N","P2_047N","P2_048N","P2_049N","P2_050N","P2_051N","P2_052N","P2_053N","P2_054N","P2_055N","P2_056N","P2_057N","P2_058N","P2_059N","P2_060N","P2_061N","P2_062N","P2_063N","P2_064N","P2_065N","P2_066N","P2_067N","P2_068N","P2_069N","P2_070N","P2_071N","P2_072N","P2_073N",
"1400000US17093890108","Census Tract 8901.08, Kendall County, Illinois","5473","607","4866","4605","4252","233","7","101","0","12","261","252","52","51","93","0","53","3","0","0","0","0","0","0","0","0","0","4","0","2","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","5","3","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",
"1400000US17093890201","Census Tract 8902.01, Kendall County, Illinois","4416","1644","2772","2611","2344","180","6","59","0","22","161","149","43","54","18","0","28","4","2","0","0","0","0","0","0","0","0","12","4","0","0","1","2","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17093890202","Census Tract 8902.02, Kendall County, Illinois","3089","1204","1885","1758","1592","149","1","14","0","2","127","122","39","36","12","0","33","0","0","0","1","0","0","1","0","0","0","4","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17093890301","Census Tract 8903.01, Kendall County, Illinois","6159","1567","4592","4326","3699","451","7","149","0","20","266","251","81","55","42","4","55","5","3","0","6","0","0","0","0","0","0","15","8","3","1","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17093890302","Census Tract 8903.02, Kendall County, Illinois","6091","1326","4765","4545","4150","241","5","121","0","28","220","211","49","57","40","0","60","0","3","0","1","0","0","0","1","0","0","9","3","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17093890401","Census Tract 8904.01, Kendall County, Illinois","6290","963","5327","5088","4668","327","11","68","0","14","239","232","70","44","33","0","77","2","2","0","3","0","0","0","1","0","0","6","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17093890402","Census Tract 8904.02, Kendall County, Illinois","9883","1397","8486","8164","7325","614","0","185","0","40","322","308","63","93","57","1","76","1","5","0","12","0","0","0","0","0","0","13","8","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17093890403","Census Tract 8904.03, Kendall County, Illinois","5970","1278","4692","4442","3624","586","5","202","0","25","250","232","76","49","47","1","35","9","6","0","4","0","0","0","4","1","0","17","14","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17093890404","Census Tract 8904.04, Kendall County, Illinois","9887","2977","6910","6450","5026","1003","3","394","0","24","460","444","149","95","111","0","74","2","9","0","2","0","0","0","1","1","0","15","9","0","0","0","2","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17093890501","Census Tract 8905.01, Kendall County, Illinois","9398","3281","6117","5763","4794","745","4","195","0","25","354","317","96","89","35","4","69","8","4","0","3","2","0","0","7","0","0","36","23","5","0","3","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17093890502","Census Tract 8905.02, Kendall County, Illinois","4638","1487","3151","2984","2824","105","11","26","1","17","167","159","35","55","10","2","53","0","0","0","4","0","0","0","0","0","0","8","3","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17093890601","Census Tract 8906.01, Kendall County, Illinois","4513","464","4049","3915","3741","125","9","28","0","12","134","128","25","39","34","1","22","1","0","2","1","0","0","0","3","0","0","4","1","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
