"GEO_ID","NAME","H1_001N","H1_002N","H1_003N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant",
"1400000US17019001400","Census Tract 14, Champaign County, Illinois","1798","1652","146",
"1400000US17019005300","Census Tract 53, Champaign County, Illinois","2029","1683","346",
"1400000US17019005401","Census Tract 54.01, Champaign County, Illinois","2442","2205","237",
"1400000US17019005402","Census Tract 54.02, Champaign County, Illinois","1461","1359","102",
"1400000US17019005500","Census Tract 55, Champaign County, Illinois","2576","2319","257",
"1400000US17019005601","Census Tract 56.01, Champaign County, Illinois","2920","2651","269",
"1400000US17019005602","Census Tract 56.02, Champaign County, Illinois","1480","1345","135",
"1400000US17019005701","Census Tract 57.01, Champaign County, Illinois","2675","2448","227",
"1400000US17019005702","Census Tract 57.02, Champaign County, Illinois","612","578","34",
"1400000US17019005800","Census Tract 58, Champaign County, Illinois","1786","1556","230",
"1400000US17019005901","Census Tract 59.01, Champaign County, Illinois","588","489","99",
"1400000US17019005902","Census Tract 59.02, Champaign County, Illinois","988","795","193",
"1400000US17019006000","Census Tract 60, Champaign County, Illinois","815","549","266",
"1400000US17019010100","Census Tract 101, Champaign County, Illinois","2284","2017","267",
"1400000US17019010204","Census Tract 102.04, Champaign County, Illinois","2018","1812","206",
"1400000US17019010300","Census Tract 103, Champaign County, Illinois","1354","1221","133",
"1400000US17019010400","Census Tract 104, Champaign County, Illinois","2123","1889","234",
"1400000US17019010500","Census Tract 105, Champaign County, Illinois","1879","1751","128",
"1400000US17019010601","Census Tract 106.01, Champaign County, Illinois","2178","2096","82",
"1400000US17019010603","Census Tract 106.03, Champaign County, Illinois","3227","2939","288",
"1400000US17019010604","Census Tract 106.04, Champaign County, Illinois","1153","1044","109",
"1400000US17019010701","Census Tract 107.01, Champaign County, Illinois","1549","1485","64",
"1400000US17019010702","Census Tract 107.02, Champaign County, Illinois","1577","1494","83",
"1400000US17019010800","Census Tract 108, Champaign County, Illinois","1927","1793","134",
"1400000US17019010901","Census Tract 109.01, Champaign County, Illinois","2551","2376","175",
"1400000US17019010902","Census Tract 109.02, Champaign County, Illinois","1844","1727","117",
"1400000US17019011001","Census Tract 110.01, Champaign County, Illinois","1457","1303","154",
"1400000US17019011002","Census Tract 110.02, Champaign County, Illinois","1372","1188","184",
"1400000US17019011100","Census Tract 111, Champaign County, Illinois","1414","1268","146",
"1400000US17021958100","Census Tract 9581, Christian County, Illinois","1325","1210","115",
"1400000US17021958200","Census Tract 9582, Christian County, Illinois","1743","1597","146",
"1400000US17021958300","Census Tract 9583, Christian County, Illinois","2093","1925","168",
"1400000US17021958400","Census Tract 9584, Christian County, Illinois","1821","1632","189",
"1400000US17021958500","Census Tract 9585, Christian County, Illinois","1090","976","114",
"1400000US17021958600","Census Tract 9586, Christian County, Illinois","948","868","80",
"1400000US17021958700","Census Tract 9587, Christian County, Illinois","1580","1407","173",
"1400000US17021958800","Census Tract 9588, Christian County, Illinois","1244","1076","168",
"1400000US17021958900","Census Tract 9589, Christian County, Illinois","1221","1068","153",
"1400000US17021959000","Census Tract 9590, Christian County, Illinois","2119","1962","157",
"1400000US17023060100","Census Tract 601, Clark County, Illinois","2160","1929","231",
"1400000US17023060200","Census Tract 602, Clark County, Illinois","2041","1849","192",
"1400000US17023060300","Census Tract 603, Clark County, Illinois","2362","2069","293",
"1400000US17023060400","Census Tract 604, Clark County, Illinois","764","659","105",
"1400000US17025971900","Census Tract 9719, Clay County, Illinois","1077","938","139",
"1400000US17025972000","Census Tract 9720, Clay County, Illinois","1249","1127","122",
"1400000US17025972100","Census Tract 9721, Clay County, Illinois","2432","2197","235",
"1400000US17025972200","Census Tract 9722, Clay County, Illinois","1387","1244","143",
"1400000US17027900100","Census Tract 9001, Clinton County, Illinois","2667","2546","121",
"1400000US17027900200","Census Tract 9002, Clinton County, Illinois","779","726","53",
"1400000US17027900300","Census Tract 9003, Clinton County, Illinois","2991","2842","149",
"1400000US17027900401","Census Tract 9004.01, Clinton County, Illinois","618","511","107",
"1400000US17027900403","Census Tract 9004.03, Clinton County, Illinois","1795","1639","156",
"1400000US17027900404","Census Tract 9004.04, Clinton County, Illinois","931","617","314",
"1400000US17027900500","Census Tract 9005, Clinton County, Illinois","2122","1924","198",
"1400000US17027900601","Census Tract 9006.01, Clinton County, Illinois","1003","944","59",
"1400000US17027900602","Census Tract 9006.02, Clinton County, Illinois","2668","2509","159",
"1400000US17029000100","Census Tract 1, Coles County, Illinois","1294","1150","144",
"1400000US17029000200","Census Tract 2, Coles County, Illinois","2579","2175","404",
"1400000US17029000300","Census Tract 3, Coles County, Illinois","2078","1881","197",
"1400000US17029000400","Census Tract 4, Coles County, Illinois","1449","1288","161",
"1400000US17029000500","Census Tract 5, Coles County, Illinois","3021","2557","464",
"1400000US17029000600","Census Tract 6, Coles County, Illinois","1525","1385","140",
"1400000US17029000701","Census Tract 7.01, Coles County, Illinois","1477","1323","154",
"1400000US17029000702","Census Tract 7.02, Coles County, Illinois","1550","1290","260",
"1400000US17029000800","Census Tract 8, Coles County, Illinois","948","605","343",
"1400000US17029000900","Census Tract 9, Coles County, Illinois","1848","1742","106",
"1400000US17029001000","Census Tract 10, Coles County, Illinois","1633","1471","162",
"1400000US17029001100","Census Tract 11, Coles County, Illinois","1725","1542","183",
"1400000US17029001200","Census Tract 12, Coles County, Illinois","1612","1452","160",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2711","2426","285",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","3062","2831","231",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1279","1211","68",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","3289","3090","199",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","2351","2170","181",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2699","2553","146",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1946","1726","220",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","1606","1463","143",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","3351","3162","189",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","1669","1542","127",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","2274","2076","198",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","1666","1597","69",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","2168","2056","112",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","2223","2053","170",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","1927","1804","123",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","1868","1762","106",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","2455","2329","126",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","2230","2087","143",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","1588","1491","97",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","770","700","70",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","2623","2500","123",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","2314","2172","142",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","2478","2300","178",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","2212","1993","219",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","1727","1649","78",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","2561","2353","208",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","2217","1926","291",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","1207","1043","164",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","1237","1053","184",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","2891","2693","198",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","1543","1460","83",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","1424","1325","99",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","3302","3049","253",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","1948","1824","124",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","1488","1366","122",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","2687","2442","245",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","1025","966","59",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","1627","1534","93",
"1400000US17031030703","Census Tract 307.03, Cook County, Illinois","1984","1851","133",
"1400000US17031030706","Census Tract 307.06, Cook County, Illinois","2193","1976","217",
"1400000US17031030800","Census Tract 308, Cook County, Illinois","2268","2109","159",
"1400000US17031030900","Census Tract 309, Cook County, Illinois","1614","1496","118",
"1400000US17031031000","Census Tract 310, Cook County, Illinois","2294","2116","178",
"1400000US17031031100","Census Tract 311, Cook County, Illinois","2916","2607","309",
"1400000US17031031200","Census Tract 312, Cook County, Illinois","3328","3045","283",
"1400000US17031031300","Census Tract 313, Cook County, Illinois","4469","4075","394",
"1400000US17031031400","Census Tract 314, Cook County, Illinois","3581","3344","237",
"1400000US17031031501","Census Tract 315.01, Cook County, Illinois","2182","2028","154",
"1400000US17031031502","Census Tract 315.02, Cook County, Illinois","3021","2630","391",
"1400000US17031031700","Census Tract 317, Cook County, Illinois","3957","3710","247",
"1400000US17031031800","Census Tract 318, Cook County, Illinois","1091","1025","66",
"1400000US17031031900","Census Tract 319, Cook County, Illinois","1363","1293","70",
"1400000US17031032100","Census Tract 321, Cook County, Illinois","4603","4302","301",
"1400000US17031040100","Census Tract 401, Cook County, Illinois","1871","1700","171",
"1400000US17031040201","Census Tract 402.01, Cook County, Illinois","3188","2964","224",
"1400000US17031040202","Census Tract 402.02, Cook County, Illinois","3300","3071","229",
"1400000US17031040300","Census Tract 403, Cook County, Illinois","1179","1127","52",
"1400000US17031040401","Census Tract 404.01, Cook County, Illinois","1493","1405","88",
"1400000US17031040402","Census Tract 404.02, Cook County, Illinois","2754","2610","144",
"1400000US17031040600","Census Tract 406, Cook County, Illinois","1386","1291","95",
"1400000US17031040700","Census Tract 407, Cook County, Illinois","1750","1656","94",
"1400000US17031040800","Census Tract 408, Cook County, Illinois","851","778","73",
"1400000US17031040900","Census Tract 409, Cook County, Illinois","1160","1105","55",
"1400000US17031050100","Census Tract 501, Cook County, Illinois","1286","1210","76",
"1400000US17031050200","Census Tract 502, Cook County, Illinois","2403","2243","160",
